ID	audio	tgt_text
37	10937407360976471523.wav	Der Absturz ereignete sich in gebirgigem Gelände in großer Höhe und soll auf feindliches Feuer zurückzuführen sein.
38	10938576782105608041.wav	Blogs können auch dazu beitragen, das Schreiben von Schülern zu verbessern. Obwohl Schüler oft mit nachlässiger Grammatik und Rechtschreibung ihre Blog-Erfahrung beginnen, ändert sich dies in der Regel durch das Vorhandensein eines Publikums.
39	10969774925516121312.wav	Dies ist eine wichtige Möglichkeit, um zwischen einigen Verben und Objekten zu unterscheiden.
40	11060294228176938598.wav	Als Ergebnis sind zwei Fischarten ausgestorben, und zwei andere sind gefährdet, darunter der Humpback Chub.
41	1107772981946748169.wav	Aber es gibt noch viele Dinge an Vögeln, die noch wie Dinosaurier aussehen.
42	1111475259790805601.wav	Oliver Sacks deutete in seinem Aufsatz Die Rede des Präsidenten an, wie Menschen, die aufgrund einer Hirnschädigung Sprache nicht verstehen können, dennoch in der Lage sind, Aufrichtigkeit genau einzuschätzen.
43	11147918080606585533.wav	Ziegen scheinen vor etwa 10.000 Jahren in den Zagros-Bergen im Iran erstmals domestiziert worden zu sein.
44	1116140877447157610.wav	Reisende werden dringend darauf hingewiesen, sich über mögliche Risiken schwerer Wetterbedingungen in ihrer Region im Klaren zu sein, da diese jede Reiseplanung beeinträchtigen können.
45	1116401173651214130.wav	Während dieser Periode der europäischen Geschichte geriet die katholische Kirche, die reich und mächtig geworden war, in die Kritik.
46	11200231708585274851.wav	Mit dem Rückgang des griechischen Wissens fand sich der Westen von seinen griechischen philosophischen und wissenschaftlichen Wurzeln abgeschnitten.
47	11260391063812418810.wav	Letzte Woche gab METI bekannt, dass Apple 34 weitere Überhitzungsereignisse gemeldet hat, die das Unternehmen als nicht ernsthaft bezeichnete.
48	11265842188315045636.wav	Die Bevölkerung von Vatikanstadt liegt bei etwa 800. Es ist das kleinste unabhängige Land der Welt und das Land mit der geringsten Bevölkerung.
49	11318597463051480163.wav	Frau Kirchner kündigte ihre Absicht an, sich im argentinischen Theater um das Präsidentenamt zu bewerben, demselben Ort, an dem sie 2005 ihre Kampagne für den Senat als Mitglied der Delegation der Provinz Buenos Aires begonnen hatte.
50	11374239868879585530.wav	Der heiße Schokolade entspricht belgischen Standards. Fruchtsäfte sind teuer, aber ausgezeichnet.
51	11426556553252626005.wav	Der Hafen war 1889 Schauplatz eines berüchtigten marinepolitischen Stillstands, als sieben Schiffe aus Deutschland, den USA und Großbritannien sich weigerten, den Hafen zu verlassen.
52	11459777646810052940.wav	Errichtet von den Ägyptern im dritten Jahrhundert v. Chr., ist die Große Pyramide eine von vielen großen Pyramidenstrukturen, die errichtet wurden, um den verstorbenen Pharao zu ehren.
53	1146643745158029931.wav	Eine Zivilisation ist eine einzigartige Kultur, die von einer signifikanten großen Gruppe von Menschen geteilt wird, die kooperativ leben und arbeiten, eine Gesellschaft.
54	11483786862560523973.wav	Im Norden und leicht erreichbar liegt die romantische und faszinierende Stadt Sintra, die Ausländern nach einem glühenden Bericht über ihre Pracht von Lord Byron bekannt gemacht wurde.
55	11497310594035767755.wav	Löwenrudel verhalten sich ähnlich wie Rudel von Wölfen oder Hunden, Tiere, die überraschend ähnliche Verhaltensweisen wie Löwen (aber nicht andere Großkatzen) aufweisen und auch sehr gefährlich für ihre Beute sind.
56	11504385604540375365.wav	Wissenschaftler hoffen zu verstehen, wie Planeten entstehen, insbesondere wie die Erde entstand, da Kometen vor langer Zeit mit der Erde kollidierten.
57	11525263464519603482.wav	Die meisten modernen Forschungsteleskope sind riesige Einrichtungen in abgelegenen Gebieten mit günstigen atmosphärischen Bedingungen.
58	1153104690713813269.wav	Wenn Sie den Film „Das Vermächtnis der Tempelritter“ gesehen haben, denken Sie möglicherweise, dass eine Schatzkarte auf der Rückseite der Unabhängigkeitserklärung geschrieben wurde.
59	11536232800365538941.wav	Die Sundarbans sind der größte Küstenmangrovenwald der Welt, der sich 80 km ins Landesinnere Bangladeschs und Indiens von der Küste erstreckt.
60	11554335886429174193.wav	Generell gesprochen können sich zwei Verhaltensweisen manifestieren, wenn Manager anfangen, ihre ehemaligen Kollegen zu führen. Ein Extrem ist der Versuch, weiterhin einer von ihnen zu bleiben.
61	11559094331412401332.wav	Wasserstoffionen sind Protonen, denen ihre Elektronen abgestreift wurden (da Wasserstoffatome aus einem Proton und einem Elektron bestehen).
62	11593450817032542587.wav	Die Sundarbans sind der größte küstennahe Mangrovengürtel der Welt, der sich 80 km ins Landesinnere von Bangladesch und Indien erstreckt.
63	11596505942268625598.wav	Während der 1960er Jahre arbeitete Brzezinski für John F. Kennedy als sein Berater und dann für die Lyndon B. Johnson-Regierung.
64	11617272550749387741.wav	Cuomo, 53, begann sein Amt als Gouverneur früher in diesem Jahr und unterzeichnete letzten Monat ein Gesetz, das die gleichgeschlechtliche Ehe legalisiert.
65	11665346626937246597.wav	Fernsehberichte zeigen weißen Rauch, der aus dem Werk aufsteigt.
66	11668734600035674277.wav	Die regierende Partei, die Südwestafrikanische Volksorganisation (SWAPO), behielt auch eine Mehrheit bei den Parlamentswahlen.
67	11670188897888947692.wav	Es kann nichts anderes gesehen werden als der klare, schöne Himmel über uns und die vielen umliegenden Berge. Sehr wenig von dieser Welt kann von innen in der Höhle gesehen oder gehört werden.
68	11705046490861852963.wav	Zuerst tragen die meisten Reiter Reitstiefel mit Absatz und einer glatten, ziemlich schmalen Sohle.
69	11766033532714442721.wav	Seit 1966 sind die Sundarbans ein Wildreservat, und es wird geschätzt, dass es in der Gegend jetzt 400 königliche Bengaltiger und etwa 30.000 gefleckte Hirsche gibt.
70	11781376959217630586.wav	Der Nationalpark Plitvicer Seen ist stark bewaldet, hauptsächlich mit Buchen, Fichten und Tannen, und weist eine Mischung aus alpiner und mediterraner Vegetation auf.
71	11820398005906165915.wav	Auch nach der Revolution standen alle männlichen Bewerber Berufen offen, was den ehrgeizigsten und erfolgreichsten zum Erfolg verhalf.
72	11827077161070295147.wav	Die Szenen werden auf den Pyramiden angezeigt und die verschiedenen Pyramiden leuchten auf.
73	11853072634976133891.wav	Diese Paare können sich entscheiden, einen Adoptionsplan für ihr Baby zu erstellen.
74	11880309600276730497.wav	Ebenso benötigen Sie mit einem Schengen-Visum keine Visaanträge für jedes einzelne Schengen-Land, was Zeit, Geld und Papierkram spart.
75	11966709226632417907.wav	Alles im Universum besteht aus Materie. Alle Materie besteht aus winzigen Partikeln namens Atome.
76	11974497390699501411.wav	Der Fund gibt auch Einblick in die Evolution der Federn bei Vögeln.
77	11987168412167267165.wav	Die Feuchtigkeit auf deinen Händen wird mit den äußeren Schichten reagieren, was sich merkwürdig anfühlen und eine Art Schutzschicht bilden wird.
78	12018418318980824126.wav	Dies wird als pH-Wert eines Chemikalie bezeichnet. Sie können einen Indikator mit Rotkohlsaft herstellen.
79	12156117084384995618.wav	Nur Mutationen in Keimzellen können an Kinder weitergegeben werden, während Mutationen an anderer Stelle Zelltod oder Krebs verursachen können.
80	12164368102080603077.wav	Das Büro des Gouverneurs sagte, dass neunzehn der Verletzten Polizeibeamte waren.
81	1218355507714944126.wav	In den Anfängen der Show war sie ausschließlich auf der langjährigen Internetradio-Website TogiNet Radio zu hören, die sich auf Talkradio spezialisiert hatte.
82	12190760535244332971.wav	Das Gizeh-Plateau oder Gizeh-Nekropolis im ägyptischen Tal der Toten enthält mehrere Pyramiden (von denen die Große Pyramide die größte ist), mehrere kleine Gräber, mehrere Tempel und die große Sphinx.
83	12200368278244671662.wav	Diese Paare können sich entscheiden, einen Adoptionsplan für ihr Baby zu erstellen.
84	12230326991067783666.wav	USA Gymnastics und das USOC haben dasselbe Ziel - den Sport der Gymnastik und anderer so sicher wie möglich zu machen, damit Athleten ihren Träumen in einer sicheren, positiven und gestärkten Umgebung nachgehen können.
85	12239464249642485259.wav	MS ist eine Krankheit, die das zentrale Nervensystem betrifft, das aus dem Gehirn, dem Rückenmark und dem Sehnerv besteht.
86	12316410148883063626.wav	Das Teilen eines Schulausflugs virtuell ist ebenfalls eine großartige Möglichkeit, um über einen Ausflug zu reflektieren und Erfahrungen mit zukünftigen Klassen zu teilen.
87	12356293452530186109.wav	Jeder nimmt an der Gesellschaft teil und nutzt Transportsysteme. Fast jeder beschwert sich über Transportsysteme.
88	12381237049043414166.wav	Muhammad war tief interessiert an Angelegenheiten jenseits dieses weltlichen Lebens. Er pflegte eine Höhle aufzusuchen, die als Hira‘ auf dem Berg Noor (Licht) bekannt wurde, um zu meditieren.
89	12382404601461539160.wav	Auf einigen Strecken haben die größeren Unternehmen ihre eigenen Flugzeuge, aber für andere Strecken und kleinere Firmen gab es ein Problem.
90	1242235796224521830.wav	Der Gebäude-Reigen, der die Skyline von Hongkong bildet, wurde mit einem funkelnden Säulendiagramm verglichen, das durch das Vorhandensein der Wasser des Victoria Harbor offensichtlich wird.
91	12442340605801616197.wav	Das Seitenverhältnis dieses Formats (nach der Division durch zwölf, um das einfachste Ganzzahlenverhältnis zu erhalten) wird daher als 3:2 bezeichnet.
92	12462354014280856258.wav	Das Zeitalter, in dem die Ereignisse stattfanden, wird allgemein als Hochmittelalter bezeichnet, die Zeit der europäischen Geschichte im 11., 12. und 13. Jahrhundert (1000–1300 n. Chr.).
93	12517884865939916901.wav	Es besagt, dass der effektivste Ort für das Hauptmotiv an der Schnittstelle der Linien liegt, die das Bild vertikal und horizontal in Drittel teilen (siehe Beispiel).
94	125194026787628519.wav	Cuomo, 53, begann sein Gouverneursamt früher in diesem Jahr und unterzeichnete letzten Monat ein Gesetz zur Legalisierung der gleichgeschlechtlichen Ehe.
95	12519810849995407480.wav	Es kann auch vorteilhaft sein, eine Wild Card zu kaufen, die den Zugang entweder zu einer Auswahl von Parks in Südafrika oder allen südafrikanischen Nationalparks ermöglicht.
96	12570605547501325774.wav	Im selben Monat kam es zu einem weiteren Vorfall, bei dem ein Passagierflugzeug in Mashhad über die Startbahn hinausfuhr und eine Mauer traf, wobei siebzehn Menschen getötet wurden.
97	12596201646041937807.wav	Der Fund gibt auch Einblicke in die Evolution der Federn bei Vögeln.
98	12596571867015231445.wav	Mosasaurus war der Spitzenprädator seiner Zeit, also fürchtete es nichts, außer anderen Mosasauriern.
99	1261572251451962704.wav	Sechs Geiseln, darunter Kinder und Älteste, wurden früh freigelassen, ebenso die philippinischen Fotografen.
100	12618421744672029626.wav	Jenseits des Ereignisses am Mittwoch nahm Carpanedo an zwei Einzelrennen bei den Meisterschaften teil.
101	12682843461389402977.wav	Pflanzen produzieren Sauerstoff, den Menschen atmen, und sie nehmen Kohlendioxid auf, das Menschen ausatmen (das heißt, ausatmen).
102	12700569942235742079.wav	Andere Themen auf der Tagesordnung in Bali sind die Rettung der noch verbleibenden Wälder der Welt und der Austausch von Technologien, um Entwicklungsländern zu helfen, auf weniger verschmutzende Weise zu wachsen.
103	1270296314827012368.wav	Die Korrelation zwischen Hirnpathologie und Verhalten unterstützt Wissenschaftler in ihrer Forschung.
104	12725120105000747485.wav	Die Ankündigung wurde nach einem Telefonat zwischen Trump und dem türkischen Präsidenten Recep Tayyip Erdoğan gemacht.
105	12728606633758857674.wav	Ebenso brauchen Sie mit einem Schengen-Visum nicht für jedes der Schengen-Mitgliedsländer separat ein Visum zu beantragen, was Zeit, Geld und Papierkram spart.
106	1273817225649957097.wav	Italienisch ist auch die Alltagssprache, die von den meisten Menschen verwendet wird, die im Staat arbeiten, während Latein oft bei religiösen Zeremonien verwendet wird.
107	12741024238657315067.wav	Leider ist es schwierig, den Verkehrsfluss zu studieren, da das Fahrverhalten nicht mit hundertprozentiger Sicherheit vorhergesagt werden kann.
108	12742373433258665797.wav	Der Romantizismus hatte ein großes Element des kulturellen Determinismus, entlehnt von Schriftstellern wie Goethe, Fichte und Schlegel.
109	1277588711703410007.wav	Ein vielseitiger Athlet, der Tiger kann klettern (wenn auch nicht gut), schwimmen, große Distanzen springen und mit der fünffachen Kraft eines starken Menschen ziehen.
110	12782801286775256949.wav	Wenn du nah am Geschehen sein möchtest, musst du früh dran sein, um einen Campingplatz in der Nähe der Musik zu bekommen.
111	12784232275162817860.wav	Der Kongress begann im Haushaltsjahr 2005, die Initiative gegen Obszönität zu finanzieren und bestimmte, dass das FBI 10 Agenten für Erwachsenenpornografie einsetzen muss.
112	12820699144181559822.wav	Es hat uns den Zug, das Auto und viele andere Transportmittel gebracht.
113	12890154668042466980.wav	Zwei Jahre nach Kriegsende waren die ehemaligen Alliierten nun Feinde, und der Kalte Krieg begann.
114	12897153867514448386.wav	Spät am Sonntag kündigte der US-Präsident Donald Trump in einer Erklärung, die über den Pressesprecher veröffentlicht wurde, an, dass die US-Truppen Syrien verlassen würden.
115	12906384443438076827.wav	In einem Wagen reisten sie zurück nach Paris, umgeben von einer Menschenmenge, die gegen den König und die Königin schrie und Drohungen ausstieß.
116	12921155570472263117.wav	Während Goma recht sicher ist, sollten Besuche außerhalb von Goma recherchiert werden, um den Stand der Kämpfe im Nord-Kivu zu verstehen.
117	129240607624460201.wav	Wenn Sie den Film National Treasure gesehen haben, denken Sie vielleicht, dass eine Schatzkarte auf der Rückseite der Unabhängigkeitserklärung geschrieben wurde.
118	12953138808800823203.wav	Mit Kundalini Yoga wird die Kundalini-Energie (Erleuchtungsenergie) durch Yoga-Übungen, Atemübungen, Mantras und Visualisierungen geweckt.
119	12966312239837756963.wav	Das nennt man den pH-Wert einer Chemikalie. Du kannst einen Indikator mit Rotkohlsaft herstellen.
120	12970636128542220038.wav	Der massenweise Besitz von Autos führt auch zu einer höheren Unfallrate auf den Straßen, was zur Entwicklung neuer Techniken im Gesundheitswesen zur Reparatur beschädigter Körper führt.
121	13006273800980159403.wav	Der Kohlsaft ändert je nach Säuregehalt oder Basizität (Alkalinität) der Chemikalie seine Farbe.
122	13029464143980259888.wav	Insbesondere wird behauptet, dass man durch richtiges Interpretieren von Mikroausdrücken erkennen kann, ob eine Person lügt.
123	13031516147694203229.wav	Wirbel die beiden trockenen Pulver zusammen und drücke sie dann mit sauberen, feuchten Händen zu einem Ball zusammen.
124	13049690085129854387.wav	Mehrere große Fernsehbildschirme wurden an verschiedenen Orten in Rom installiert, damit die Menschen die Zeremonie sehen können.
125	13070914954918539330.wav	Die Zusammensetzung dieser Kristalle entspricht jenen, die im Urin betroffener Haustiere mittels Infrarotspektroskopie (FTIR) verglichen werden.
126	13128254958003826368.wav	Für die Springboks endete eine fünf Spiele andauernde Verlustserie.
127	13130060533227294993.wav	Die Feuchtigkeit auf deinen Händen wird mit den äußeren Schichten reagieren, was sich seltsam anfühlen und eine Art Schale bilden wird.
128	13153302236168048197.wav	Große Gebiete weiter im Norden sind ziemlich dünn besiedelt, und manches ist fast unbewohnte Wildnis.
129	1321689309737152988.wav	Rolando Mendoza feuerte sein M16-Gewehr auf die Touristen ab.
130	13230261475791184258.wav	Das Büro des Gouverneurs sagte, dass neunzehn der Verletzten Polizeibeamte waren.
131	13245569655363672734.wav	Im Jahr 1990 wurde es auf die Liste der gefährdeten Welterbestätten gesetzt, aufgrund der Bedrohung durch Wüstensand.
132	13295416245066118625.wav	Das US-Korps der Ingenieure schätzte, dass 6 Zoll Regen die zuvor beschädigten Deiche durchbrechen könnten.
133	13297690853135603331.wav	Große Gebiete weiter im Norden sind ziemlich dünn besiedelt und manche sind fast unbewohnte Wildnis.
134	13332753177678720249.wav	Seit der Gründung von Asunción im Jahr 1537 hat Paraguay es geschafft, einen Großteil seines indigenen Charakters und seiner Identität zu bewahren.
135	13345242347208844836.wav	Eine Bombe explodierte vor dem Büro des Generalgouverneurs.
136	13359752682314548.wav	Dies wird kein Abschied sein. Dies ist das Schließen eines Kapitels und das Öffnen eines neuen.
137	13362021168025680919.wav	Auch nach der Revolution standen alle männlichen Bewerber Berufen offen, was den ehrgeizigsten und erfolgreichsten ermöglichte, erfolgreich zu sein.
138	13388880723958450388.wav	Alles in allem sollten wir nicht überrascht sein, wenn unsere eigenen Vorfahren ihr Proteinproblem auf ähnliche Weise gelöst haben wie Schimpansen auf der Savanne heute.
139	13447718337043682273.wav	Danielle Lantagne, eine UN-Expertin für die Krankheit, erklärte, dass der Ausbruch wahrscheinlich durch die Friedenstruppen verursacht wurde.
140	13458636098813464476.wav	Sie haben Füße mit Schuppen und Krallen, legen Eier und gehen auf ihren zwei Hinterbeinen wie ein T-Rex.
141	13542330409815692480.wav	Wir stimmen mit der Erklärung des USOC überein, dass die Interessen unserer Athleten und Vereine sowie ihres Sports möglicherweise besser durch eine nachhaltige Veränderung innerhalb unserer Organisation unterstützt werden als durch Dekertifizierung.
142	1361225517388701679.wav	Scotturb Bus 403 fährt regelmäßig nach Sintra und hält am Cabo da Roca.
143	13713355703439016228.wav	Giancarlo Fisichella verlor die Kontrolle über sein Auto und beendete das Rennen sehr bald nach dem Start.
144	1372746700546513130.wav	Es wurde von den Vichy-Franzosen regiert. Dies waren Franzosen, die im Jahr 1940 Frieden mit den Deutschen geschlossen hatten und anstatt gegen sie zu kämpfen mit den Besatzern zusammenarbeiteten.
145	13732033283623109766.wav	Bis 1976 waren dreißig Prozent von Machu Picchu restauriert worden und die Restaurierung dauert bis heute an.
146	13809395828339499811.wav	Eine der häufigsten Methoden, um die Bedeutung der Sozialisation zu veranschaulichen, besteht darin, auf die wenigen unglücklichen Fälle von Kindern zurückzugreifen, die durch Vernachlässigung, Unglück oder vorsätzlichen Missbrauch nicht von Erwachsenen sozialisiert wurden, während sie aufwuchsen.
147	13824971935266428986.wav	Im selben Monat überfuhr ein weiterer Passagierflugzeug eine Start- und Landebahn in Maschhad und prallte gegen eine Mauer, wobei siebzehn Menschen starben.
148	13875708868701082683.wav	Sie können auch den Rat von Regierungen anderer Länder konsultieren, aber deren Ratschläge sind für ihre Bürger konzipiert.
149	13888599635337906526.wav	Segregation und Rekombination mischen Variationen zwischen den beiden Populationen in jeder Generation hin und her.
150	13896470903695476292.wav	Schlafunterbrechung ist der Vorgang des gezielten Erwachens während Ihres normalen Schlafzeitraums und des anschließenden Einschlafens kurz darauf (10–60 Minuten).
151	1394697283561012104.wav	Wir wissen es nicht genau, aber es könnte eine gespaltene Zunge gehabt haben. Seine Nahrung umfasste Schildkröten, große Fische, andere Mosasaurier und es könnte sogar ein Kannibale gewesen sein.
152	13963903782504043145.wav	NextGen ist ein System, von dessen Einsatz die FAA behauptet, dass Flugzeuge kürzere Routen fliegen und so Millionen Gallonen Treibstoff pro Jahr einsparen und die Kohlenstoffemissionen reduzieren könnten.
153	14076834086577911298.wav	Wenn alle verfügbaren Ressourcen effektiv über die funktionalen Abteilungen einer Organisation hinweg genutzt werden, können Kreativität und Einfallsreichtum entstehen.
154	14077379425479054842.wav	Ein einfaches beliebtes Abendessen, besonders im Sommer, ist das Pa amb Oli: Brot mit Olivenöl, Tomate und etwaigen verfügbaren Beilagen wie Käse, Thunfisch, usw.
155	14115239728007650784.wav	Auf der anderen Seite sind eisige und schneiende Bedingungen in vielen Ländern normal, und der Verkehr läuft größtenteils das ganze Jahr über ununterbrochen weiter.
156	14139585382582687665.wav	Die Strategie erwies sich als wirksam, indem sie wichtige militärische und zivile Versorgungsgüter abschnitt, obwohl diese Blockade gegen allgemein akzeptiertes internationales Recht verstieß, das durch mehrere internationale Abkommen der letzten beiden Jahrhunderte kodifiziert wurde.
157	14146977097620621690.wav	Um die besten Aussichten auf Hongkong zu bekommen, verlassen Sie die Insel und fahren Sie zum gegenüberliegenden Kowlooner Ufer.
158	14160468372285024125.wav	Kinder werden aus einer Vielzahl von Gründen in Pflegefamilien untergebracht, die von Vernachlässigung über Missbrauch bis hin zu Erpressung reichen.
159	14210445503617137582.wav	Der Verkehrsfluss ist die Untersuchung der Bewegung einzelner Fahrer und Fahrzeuge zwischen zwei Punkten und der Interaktionen, die sie miteinander eingehen.
160	14212778709566873555.wav	Der marokkanische Sultan baute die Stadt als Daru l-Badya wieder auf, und spanische Händler, die Handelsbasen dort errichteten, gaben ihr den Namen Casablanca.
161	14240553912561192306.wav	Je niedriger die Spannung, desto positiver die Lebenskraft. Jeder Mensch hat das Potenzial, absolute Ruhe und Zufriedenheit zu finden.
162	14278251866048014426.wav	Die Verwendung von Schiffen zum Transport von Waren ist bei weitem der effizienteste Weg, um große Mengen von Menschen und Gütern über die Ozeane zu transportieren.
163	14291047344508554279.wav	Schweres Wetter ist der generische Begriff für jedes gefährliche Wetterphänomen mit dem Potenzial, Schäden, ernsthafte soziale Störungen oder den Verlust von Menschenleben zu verursachen.
164	14328568808003469713.wav	Europa ist ein Kontinent, der relativ klein ist, aber viele unabhängige Länder hat. Unter normalen Umständen würde das Reisen durch mehrere Länder bedeuten, mehrmals Visaanträge zu stellen und die Passkontrolle zu durchlaufen.
165	14328961705663130128.wav	Kaliforniens Gouverneur Arnold Schwarzenegger hat ein Gesetz unterzeichnet, das den Verkauf oder die Vermietung gewalttätiger Videospiele an Minderjährige verbietet.
166	14337122471415370884.wav	Fernsehberichte zeigen weißen Rauch, der aus dem Werk aufsteigt.
167	14384731673566706407.wav	Elemente wie Calcium und Kalium gelten als Metalle. Natürlich gibt es auch Metalle wie Silber und Gold.
168	14396239747345303015.wav	Scotturb Bus 403 fährt regelmäßig nach Sintra und hält am Cabo da Roca.
169	14472713183013529731.wav	Die meisten modernen Forschungsteleskope sind riesige Anlagen in entlegenen Gebieten mit günstigen atmosphärischen Bedingungen.
170	1447510838326873839.wav	Auch zwischen jeder Dynastie lag ein instabiles Zeitalter geteilter Provinzen. Am bekanntesten ist diese Zeit der Drei Reiche, die 60 Jahre zwischen der Han- und der Jin-Dynastie dauerte.
171	14572481585322233862.wav	Grönland war dünn besiedelt. In den nordischen Sagas heißt es, dass Erik der Rote wegen Mordes von Island verbannt wurde und als er weiter gen Westen reiste, Grönland fand und es Grönland nannte.
172	14585898865749103727.wav	Der Begriff Fehler wird von Entomologen im formellen Sinne für diese Gruppe von Insekten verwendet.
