id,raw_transcription,path,lang
1860,The governor's office said nineteen of the injured were police officers.,12164368102080603077.wav,en
1798,"In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.",1218355507714944126.wav,en
1824,"The Giza Plateau, or ""Giza Necropolis"" in the Egyptian Valley of the Dead contains several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx.",12190760535244332971.wav,en
1941,These couples may choose to make an adoption plan for their baby.,12200368278244671662.wav,en
1896,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",12230326991067783666.wav,en
1955,"MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve.",12239464249642485259.wav,en
1881,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,12316410148883063626.wav,en
1797,Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.,12356293452530186109.wav,en
1899,Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation.,12381237049043414166.wav,en
1691,"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.",12382404601461539160.wav,en
1801,The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,1242235796224521830.wav,en
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,12442340605801616197.wav,en
1732,"The age where the events took place is commonly referred as the High Middle Ages the period of European history in the 11th, 12th, and 13th centuries (AD 1000–1300).",12462354014280856258.wav,en
1969,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,12517884865939916901.wav,en
1722,"Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.",125194026787628519.wav,en
1668,"It may also be beneficial for one to buy a Wild Card, which provides entry to either selections of parks in South Africa or all of the South African National Parks.",12519810849995407480.wav,en
2004,"The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.",12570605547501325774.wav,en
1750,The find also grants insight into the evolution of feathers in birds.,12596201646041937807.wav,en
1760,"Mosasaurus was the apex predator of its time, so it feared nothing, except other mosasaurs.",12596571867015231445.wav,en
1930,"Six hostages, including the children and elderly, were released early, as were the Filipino photographers.",1261572251451962704.wav,en
1799,"Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.",12618421744672029626.wav,en
1867,"Plants make oxygen which humans breathe, and they take in carbon-dioxide which humans exhale (that is, breathe out).",12682843461389402977.wav,en
2008,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",12700569942235742079.wav,en
1821,The correlation between brain pathology and behaviour supports scientists in their research.,1270296314827012368.wav,en
1779,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,12725120105000747485.wav,en
1911,"Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.",12728606633758857674.wav,en
1807,Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.,1273817225649957097.wav,en
1980,"Unfortunately, studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty.",12741024238657315067.wav,en
1660,"Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.",12742373433258665797.wav,en
1680,"A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.",1277588711703410007.wav,en
1825,If you want to be close to the action you're going to have to get in early to get a camping site close to the music.,12782801286775256949.wav,en
1671,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,12784232275162817860.wav,en
1889,"It has brought us the train, the car, and many other transportation devices.",12820699144181559822.wav,en
1808,"With two years of the end of the war, the former allies were now enemies and the Cold War began.",12890154668042466980.wav,en
1756,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",12897153867514448386.wav,en
1845,"In a carriage, they traveled back to Paris surrounded by a mob of people screaming and shouting threats against the King and Queen.",12906384443438076827.wav,en
1713,"While Goma is reasonably safe, any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province.",12921155570472263117.wav,en
1849,"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.",129240607624460201.wav,en
1780,"With Kundalini Yoga the Kundalini energy (enlightenment energy) is awakened through yoga postures, breathing exercises, mantras and visualizations.",12953138808800823203.wav,en
1792,This is called a chemical's pH. You can make an indicator using red cabbage juice.,12966312239837756963.wav,en
1984,"Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies.",12970636128542220038.wav,en
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,13006273800980159403.wav,en
1884,"In particular, it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly.",13029464143980259888.wav,en
1664,"Swirl the two dry powders together and then, with clean wet hands, squeeze them into a ball.",13031516147694203229.wav,en
1917,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,13049690085129854387.wav,en
1786,The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).,13070914954918539330.wav,en
1978,"For the Springboks, it ended a five-match losing streak.",13128254958003826368.wav,en
1803,"The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.",13130060533227294993.wav,en
1741,Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.,13153302236168048197.wav,en
1736,Rolando Mendoza fired his M16 rifle at the tourists.,1321689309737152988.wav,en
1860,The governor's office said nineteen of the injured were police officers.,13230261475791184258.wav,en
1704,"In 1990, it was added to the list of world heritage sites in danger, due to the threat of desert sands.",13245569655363672734.wav,en
2007,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,13295416245066118625.wav,en
1741,Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.,13297690853135603331.wav,en
1765,"Since the foundation of Asunción in 1537, Paraguay has managed to keep a lot of its indigenous character and identity.",13332753177678720249.wav,en
1755,One bomb exploded outside the governor general's office.,13345242347208844836.wav,en
1906,"""This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.""",13359752682314548.wav,en
1939,Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,13362021168025680919.wav,en
1940,"All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.",13388880723958450388.wav,en
1858,"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.",13447718337043682273.wav,en
1998,"They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.",13458636098813464476.wav,en
1690,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",13542330409815692480.wav,en
1805,"Scotturb Bus 403 travels regularly to Sintra, stopping at Cabo da Roca.",1361225517388701679.wav,en
1853,Giancarlo Fisichella lost control of his car and ended the race very soon after the start.,13713355703439016228.wav,en
1749,"It was ruled by the ""Vichy"" French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.",1372746700546513130.wav,en
1928,"By 1976, thirty percent of Machu Picchu had been restored and restoration continues till today.",13732033283623109766.wav,en
1961,"One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.",13809395828339499811.wav,en
2004,"The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.",13824971935266428986.wav,en
1666,"You may also wish to consult the advice of governments other than your own, but their advice is designed for their citizens.",13875708868701082683.wav,en
1687,Segregation and recombination shuffle variation back and forth between the two pools with each generation.,13888599635337906526.wav,en
1773,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,13896470903695476292.wav,en
1970,"We don't know for sure, but it may have had a forked tongue. Its diet included turtles, large fish, other mosasaurs, and it may even have been a cannibal.",1394697283561012104.wav,en
1862,NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.,13963903782504043145.wav,en
1903,"When all available resources are effectively used across the functional departments of an organization, creativity and ingenuity can transpire.",14076834086577911298.wav,en
1695,"A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.",14077379425479054842.wav,en
1921,"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.",14115239728007650784.wav,en
1923,"The strategy proved effective, cutting off vital military and civilian supplies, although this blockade violated generally accepted international law codified by several international agreements of the past two centuries.",14139585382582687665.wav,en
2003,"To get the best views of Hong Kong, leave the island and head for the Kowloon waterfront opposite.",14146977097620621690.wav,en
1694,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",14160468372285024125.wav,en
1823,Traffic Flow is the study of the movement of individual drivers and vehicles between two points and the interactions they make with one another.,14210445503617137582.wav,en
1822,The Moroccan sultan rebuilt the city as Daru l-Badya and it was given the name Casablanca by Spanish traders who established trading bases there.,14212778709566873555.wav,en
1943,"The lower the tension, the more positive the life force present. Every person has the potential to find absolute peace and contentment.",14240553912561192306.wav,en
1956,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,14278251866048014426.wav,en
1719,"Severe weather is the generic term for any dangerous weather phenomenon with the potential to cause damage, serious social disruption, or loss of human life.",14291047344508554279.wav,en
1689,"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.",14328568808003469713.wav,en
1810,California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.,14328961705663130128.wav,en
1778,Television reports show white smoke coming from the plant.,14337122471415370884.wav,en
2006,"Elements like calcium and potassium are considered metals. Of course, there are also metals like silver and gold.",14384731673566706407.wav,en
1805,"Scotturb Bus 403 travels regularly to Sintra, stopping at Cabo da Roca.",14396239747345303015.wav,en
1890,Most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions.,14472713183013529731.wav,en
1782,Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.,1447510838326873839.wav,en
1784,"Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.",14572481585322233862.wav,en
1949,The term bug is used by entomologists in a formal sense for this group of insects.,14585898865749103727.wav,en
1683,"There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.",14624695685248966546.wav,en
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,14643126700888487830.wav,en
1791,Do not deface the site by marking or scratching graffiti into structures.,14648010410081654131.wav,en
1693,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",14681158725429032808.wav,en
1885,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",14693330690944350091.wav,en
1772,"So, it is likely that the notation was added simply as a label.",14704091860070528032.wav,en
1998,"They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.",14738234113419638776.wav,en
1857,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",14805661830607478688.wav,en
1761,The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.,14836289886440749215.wav,en
1702,In just two weeks the Americans and Free French forces had liberated southern France and were turning towards Germany.,1483818313790875806.wav,en
1746,Plants make their food from the sun by photosynthesis. They also provide shade.,14855926442890309286.wav,en
1907,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.",14868402834603110105.wav,en
1769,"Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.",14944400645209157789.wav,en
1788,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,14960809846091330730.wav,en
1801,The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,1497068838470674354.wav,en
1861,"As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.",14982964006464846866.wav,en
1996,Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,14993919225529607964.wav,en
1697,He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.,15004506730396162914.wav,en
1962,The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical.,15038927295183526116.wav,en
1847,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,15094027080386890060.wav,en
1932,"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.",15167791612734877902.wav,en
1850,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",15199695878621076767.wav,en
1700,It is thinner under the maria and thicker under the highlands.,15228527404193944906.wav,en
1727,Feral children may have experienced severe child abuse or trauma before being abandoned or running away.,15257026998252037010.wav,en
1984,"Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies.",15278922555301201869.wav,en
1853,Giancarlo Fisichella lost control of his car and ended the race very soon after the start.,1531123292382678510.wav,en
1694,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",15359249341091182172.wav,en
1878,The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,15462197415062072209.wav,en
1692,"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.",15494714124475485422.wav,en
1797,Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.,15505806025419963341.wav,en
1912,"Most of the smaller islands are independent nations, or associated with France, and known as luxury beach resorts.",15510957858467012907.wav,en
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,15533201887617185536.wav,en
1913,"The tiger's roar is not like the full-voiced roar of a lion, but more like a sentence of snarly, shouted words.",1553627708563736436.wav,en
1787,"Blogging is a tool that inspires collaboration, and encourages students to extend learning well beyond the traditional school day.",1559267283424963143.wav,en
1977,"Prides are made up of one to three related adult males, along with as many as thirty females and cubs.",15592925372393530543.wav,en
1667,"Generally speaking, two behaviors can emerge as managers begin to lead their former peers. One end of the spectrum is trying to remain “one of the guys” (or gals).",156130586016414879.wav,en
1669,Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.,15618717836108767541.wav,en
1838,The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.,15622589675144910207.wav,en
1832,"Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.",15648812079343683412.wav,en
1991,"During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.",15667010054869079797.wav,en
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",15695900311829620190.wav,en
1809,"Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.",15738179776336088720.wav,en
1693,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",15739600005438498912.wav,en
1878,The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,15790784892019701649.wav,en
1730,"Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30.",15820671163473629623.wav,en
1696,"The two compounds react with one another to form crystals that may block kidney function, researchers at the university said.",15824575839049156888.wav,en
1695,"A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.",15842229443202938478.wav,en
1739,"Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.",15935462347202880059.wav,en
1758,The archipelago lies 120 km north of the Peninsula. The largest is King George Island with the settlement of Villa Las Estrellas.,15945599843667387523.wav,en
1699,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",1596269393232229615.wav,en
1842,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",15966297335082605286.wav,en
1836,"People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.",16010170383637871536.wav,en
1975,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,1605300975319497622.wav,en
1738,It also attacked anything that entered the water; even a giant dinosaur such as T. rex would be no match for it.,1616366247253366320.wav,en
1935,"However, that is not true. Although there is something written on the back of the document, it is not a treasure map.",1618638950277648344.wav,en
1889,"It has brought us the train, the car, and many other transportation devices.",16188741492070958424.wav,en
1865,Saint Petersburg cruises include time in town. Cruise passengers are exempted from visa requirements (check the terms).,16200495359369533302.wav,en
1848,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",16207777688923954070.wav,en
1838,The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.,16234809612157196531.wav,en
1718,There is no universal definition for which manufactured items are antiques. Some tax agencies define goods older than 100 years as antiques.,16249020005264010985.wav,en
1828,A search of the Internet for 'Hostile environment course' will probably provide the address of a local company.,16311865697463361030.wav,en
1740,The pyramid sound and light show is one of the most interesting things in the area for kids.,16327101627424867030.wav,en
1701,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",163369145011818208.wav,en
1721,"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.",1633905380187706594.wav,en
1699,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",16355757648693617724.wav,en
1854,The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.,16367441259442214277.wav,en
1896,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",16437430878550556483.wav,en
1746,Plants make their food from the sun by photosynthesis. They also provide shade.,16482413846901462656.wav,en
1796,"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.",16528325964292062857.wav,en
1843,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""",16545276994853978309.wav,en
